id,venue,address,pages,year,author,publisher,title,editor,note,month,volume,institution
0,"in proc. 36th annual symposium on foundations of computer science,","los alamitos, ca:",pp. 322-331.,"1995,","p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,","ieee computer society press,","'gambling in a rigged casino: the adversarial multi-armed bandit problem,'",,,,,
1,"in pre-proceedings of crypto '93,",,"pages 24.1-24.10,",1993.,"a. blum, m. furst, m. j. kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,,,,
2,"in pre-proceedings of crypto '93,",,"pages 24.1-24.10,",1993.,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,,,,
3,"proc. crypto 93,",,pages 278-291.,1994.,"avrim blum, merrick furst, michael kearns, and richard j. lipton.","springer,",cryptographic primitives based on hard learning problems.,"in douglas r. stinson, editor,",lecture notes in computer science no. 773.,,,
4,"crypto,",,,1993.,"a. blum, m. furst, m. kearns, r. lipton.",,cryptographic primitives based on hard learning problems.,,,,,
5,"proceedings of the 26th annual acm symposium on theory of computing,",,pp. 253-262.,(1994).,"blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,,,,
6,"in proceedings of the twenty-sixth annual acm symposium on theory of computing,","montreal, canada.","(pp. 253-262),",(1994).,"blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.",acm press.,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,,,,
7,in proc. 26th annu. acm sympos. theory comput.,"new york, ny,",,1994.,"blum a., furst m., jackson j., kearns m., mansour y., and rudich s.","acm press,",weakly learning dnf 10 and characterizing statistical query learning using fourier analysis.,,,,,
8,in proceedings of the 26th acm symposium on the theory of computing.,"new york, ny,",,1994.,"a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.","acm press,",weakly learning dnf and characterizing statistical query learning using fourier analysis.,,,,,
9,"in t he 26 th annual acm symposium on t heory of computing,",,"pages 253 - 262,",1994.,"avrim blum, merrick furst, jeffrey jackson, michael kearns, yishay mansour, and steven rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,,,,
10,"in proceedings of the 26 th annual acm symposium on the theory of computing,",,,1994.,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,weakly 8 learning dnf and characterizing statistical query learn-ing using fourier analysis.,,,may,,
11,"in proceedings of the 26 th annual acm symposium on the theory of computing,",,,1994.,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,,may,,
12,"in proceedings of the twenty-sixth annual acm symposium on the theory of computing,",,,1994.,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,to appear.,,,
13,"in proceedings of twenty-sixth acm symposium on theory of computing,",,,1994.,"a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,,,,
14,"proceedings of the 26th annual acm symposium on theory of computing,",,"pp. 253-62,",1994.,"blum, a., m. furst, j. jackson, m. kearns, y. mansour and s. rudich,",,"weakly learning dnf and characterizing statistical query learning using fourier analysis,",,,,,
15,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,may,,
16,"in annual acm symposium on theory of computing,",,"pages 382-391,",1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,,,,
17,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,may,,
18,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"to appear, journal of the association for computing machinery.",,,
19,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,pages 382-391.,1993.,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. k. warmuth.","morgan kaufmann,",how to use expert advice.,,to appear in journal of the association for computing machinery.,,,
20,proceedings of the annual acm symposium on the theory of computing (pp.,,382-391).,(1993).,"cesa-bianchi, n., freund, y., helmbold, d. p., haussler, d., schapire, r. e., & warmuth, m. k.",,how to use expert advice.,,,,,
21,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,(pp. 382-391).,(1993).,"cesa-bianchi, n., freund, y., helmbold, d., & haussler, d.",,how to use expert advice.,,"morgan kaufmann. to appear in journal of the association for computing machinery, schapire and warmuth also on this article but too long.",,,
22,"in proceedings of the annual acm symp. on the theory of computing,",,pages 382-391.,(1993).,"cesa-bianchi, n., freund, y., helmbold, d., haussler, d., schapire, r., and warmuth, m.",,how to use expert advice.,,,,,
23,,pages 382-391.,,1995.,"cesa-bianchi, n., y. freund, d. p. helmbold, d. haus-sler, and r. e. schapire a nd m. k. warmuth.",,how to use expert advice.,,,,,
24,proceedings of the 24th annual acm symposium on theory of computing (stoc).,,,1993.,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, m. k. war-muth.",,how to use expert advice.,,,,,
25,proceedings of the 24th annual acm symposium on theory of computing (stoc).,,,1993.,"n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, m. k. warmuth.",,how to use expert advice.,,,,,
26,"in proceedings of the 25th annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, and m. k. warmuth.",,how to use expert advice.,,,,,
27,"in acm symp. on the theory of computing,",,"pages 382-391,",1995.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haus-sler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,,,,
28,"in annual acm symposium on theory of computing,",,"pages 382-391,",1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,,,,
29,"in annual acm symposium on theory of computing,",,pages 382-391.,1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,,,,
30,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helm-bold, david haussler, robert e. schapire, and man-fred k. warmuth.",,how to use expert advice.,,submitted to the journal of the acm.,may,,
31,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,submitted to the journal of the acm.,may,,
32,"in proceedings of the twenty fifth annual acm symposium on theory of computing,","san diego, ca, may 1993.","pages 382-391,",,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.",acm press.,how to use expert advice.,,,,,
33,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haus-sler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"to appear, journal of the association for computing machinery.",,,
34,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,,,
35,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,","pages 382-391,",1993.,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m.",,war muth. how to use expert advice.,,,may,,
36,"in proc. 25th annu. acm sympos. theory comput.,","new york, ny,",pages 382-391.,1993.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.","acm press,",how to use expert advice.,,,,,
37,"in 25th annual acm symposium on theory of computing,","san diego, ca (1993).","382-392,",,"n. cesa-bianchi, y. freund, d.h. helmbold, d. haussler, r.e. schapire, and m.k. warmuth,",,"how to use expert advice,",,,,,
38,"proceedings of the 25th acm symposium on the theory of computation,",,,1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,,,,
39,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helm-bold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,,,
40,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382391,",1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"to appear, journal of the association for computing machinery.",,,
41,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,,,
42,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"to appear, journal of the association for computing machinery.",,,
43,"proceedings of the 25th acm symposium on the theory of computation,",,,1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,,,,
44,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,","pages 382-391,",1993.,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. war-muth.",,how to use expert advice.,,,may,,
