id,phone,city,name,type,addr
0,310/246-1501,los angeles,arnie morton's of chicago,american,435 s. la cienega blv.
1,310-246-1501,los angeles,arnie morton's of chicago,steakhouses,435 s. la cienega blvd.
2,818/762-1221,studio city,art's delicatessen,american,12224 ventura blvd.
3,818-762-1221,studio city,art's deli,delis,12224 ventura blvd.
4,310/472-1211,bel air,hotel bel-air,californian,701 stone canyon rd.
5,310-472-1211,bel air,bel-air hotel,californian,701 stone canyon rd.
6,818/788-3536,sherman oaks,cafe bizou,french,14016 ventura blvd.
7,818-788-3536,sherman oaks,cafe bizou,french bistro,14016 ventura blvd.
8,213/938-1447,los angeles,campanile,american,624 s. la brea ave.
9,213-938-1447,los angeles,campanile,californian,624 s. la brea ave.
10,310/392-9025,santa monica,chinois on main,french,2709 main st.
11,310-392-9025,santa monica,chinois on main,pacific new wave,2709 main st.
12,213/857-0034,los angeles,citrus,californian,6703 melrose ave.
13,213-857-0034,los angeles,citrus,californian,6703 melrose ave.
14,213/848-6677,hollywood,fenix,american,8358 sunset blvd. west
15,213-848-6677,w. hollywood,fenix at the argyle,french (new),8358 sunset blvd.
16,310/456-0488,malibu,granita,californian,23725 w. malibu rd.
17,310-456-0488,malibu,granita,californian,23725 w. malibu rd.
18,310/276-0615,los angeles,grill on the alley,american,9560 dayton way
19,310-276-0615,beverly hills,grill  the,american (traditional),9560 dayton way
20,213/665-1891,los angeles,restaurant katsu,asian,1972 n. hillhurst ave.
21,213-665-1891,los feliz,katsu,japanese,1972 hillhurst ave.
22,310/652-9770,los angeles,l'orangerie,french,903 n. la cienega blvd.
23,310-652-9770,w. hollywood,l'orangerie,french (classic),903 n. la cienega blvd.
24,213/655-8880,los angeles,le chardonnay,french,8284 melrose ave.
25,213-655-8880,los angeles,le chardonnay (los angeles),french bistro,8284 melrose ave.
26,310/274-1893,los angeles,locanda veneta,italian,3rd st.
27,310-274-1893,los angeles,locanda veneta,italian,8638 w. third st.
28,310/659-9639,beverly hills,matsuhisa,asian,129 n. la cienega blvd.
29,310-659-9639,beverly hills,matsuhisa,seafood,129 n. la cienega blvd.
30,310/550-8811,los angeles,the palm,american,9001 santa monica blvd.
31,310-550-8811,w. hollywood,palm  the (los angeles),steakhouses,9001 santa monica blvd.
32,213/467-1108,los angeles,patina,californian,5955 melrose ave.
33,213-467-1108,los angeles,patina,californian,5955 melrose ave.
34,213/628-3781,los angeles,philippe's the original,american,1001 n. alameda st.
35,213-628-3781,chinatown,philippe the original,cafeterias,1001 n. alameda st.
36,818/990-0500,los angeles,pinot bistro,french,12969 ventura blvd.
37,818-990-0500,studio city,pinot bistro,french bistro,12969 ventura blvd.
38,213/627-2300,los angeles,rex il ristorante,italian,617 s. olive st.
39,213-627-2300,los angeles,rex il ristorante,nuova cucina italian,617 s. olive st.
40,310/652-4025,los angeles,spago,californian,1114 horn ave.
41,310-652-4025,w. hollywood,spago (los angeles),californian,8795 sunset blvd.
42,310/829-4313,santa monica,valentino,italian,3115 pico blvd.
43,310-829-4313,santa monica,valentino,italian,3115 pico blvd.
44,818/585-0855,los angeles,yujean kang's gourmet chinese cuisine,asian,67 n. raymond ave.
45,818-585-0855,pasadena,yujean kang's,chinese,67 n. raymond ave.
46,212/582-7200,new york,21 club,american,21 w. 52nd st.
47,212-582-7200,new york city,21 club,american (new),21 w. 52nd st.
48,212/307-7311,new york,aquavit,continental,13 w. 54th st.
49,212-307-7311,new york city,aquavit,scandinavian,13 w. 54th st.
50,212/ 319-1660,new york,aureole,american,34 e. 61st st.
51,212-319-1660,new york city,aureole,american (new),34 e. 61st st.
52,212/496-6031,new york,cafe lalo,coffee bar,201 w. 83rd st.
53,212-496-6031,new york city,cafe lalo,coffeehouses,201 w. 83rd st.
54,212/877-3500,new york,cafe des artistes,continental,1 w. 67th st.
55,212-877-3500,new york city,cafe des artistes,french (classic),1 w. 67th st.
56,212/362-2200,new york,carmine's,italian,2450 broadway  between 90th and 91st sts.
57,212-362-2200,new york city,carmine's,italian,2450 broadway
58,212/757-2245,new york,carnegie deli,delicatessen,854 7th ave.  between 54th and 55th sts.
59,212-757-2245,new york city,carnegie deli,delis,854 seventh ave.
60,212/966-6960,new york,chanterelle,american,2 harrison st.  near hudson st.
61,212-966-6960,new york city,chanterelle,french (new),2 harrison st.
62,212/288-0033,new york,daniel,french,20 e. 76th st.
63,212-288-0033,new york city,daniel,french (new),20 e. 76th st.
64,212/355-7555,new york,dawat,asian,210 e. 58th st.
65,212-355-7555,new york city,dawat,indian,210 e. 58th st.
66,212/758-1479,new york,felidia,italian,243 e. 58th st.
67,212-758-1479,new york city,felidia,italian,243 e. 58th st.
68,212/754-9494,new york,four seasons grill room,american,99 e. 52nd st.
69,212-754-9494,new york city,four seasons,american (new),99 e. 52nd st.
70,212/620-4020,new york,gotham bar & grill,american,12 e. 12th st.
